strain,DATE,SPECIES SUBTYPE,antibiotic,vector,ACCESSION,"NOTES RE: CONTRUCTION, ORIGIN, PHENOTYPE",STRAIN ACQUIRED FROM PARENT STRAIN,DEPOSITOR,OTHER NOTES,GLYCEROL STOCK LOCATION,BURDEN ASSAY,MINIPREP DNA CONCENTRATION (ng/uL),"SEQUENCED? ""0"" IF NOT",SEQUENCE CONFIRMED?,GFP.inteference,TYPE,SUBPARTS,SHORT DESCRIPTION 
BB14,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_,"Plate 7, 2A",spring 2018 iGEM distribution,Matt McGuffie,Colony 1,Teal Box,exp014,,0,No,F,Composite,1,
BB15,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_,"Plate 7, 2A",spring 2018 iGEM distribution,Matt McGuffie,Colony 2,Teal Box,exp015/exp031,,0,No,F,Composite,1,
BB16,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K617003,"Plate 1, M8",spring 2018 iGEM distribution,Matt McGuffie,Colony 1,Teal Box,exp015/exp054/exp051/exp050/exp031,,0,No,F,DNA,1, Confirmed(A)
BB17,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K617003,"Plate 1, M8",spring 2018 iGEM distribution,Matt McGuffie,Colony 2,Teal Box,exp014,,0,No,F,DNA,1, Confirmed(A)
BB18,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K1415006,"Plate 5, I13",spring 2018 iGEM distribution,Noor Radde,Colony 1 ,Teal Box,exp031,,0,No,F,Coding,1," ""PBAN (Helicoverpa armigera Hubner)"""
BB19,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K137018,"Plate 4, 5A",spring 2018 iGEM distribution,Jordan Clements,Colony 1 ,Teal Box,exp003/exp005/exp031,NA,1,BBa_K660610.fa,T,Coding,1," ""AHL receiver + GFP"""
BB20,03.13.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K1415006,"Plate 5, I13",spring 2018 iGEM distribution,Noor Radde,Colony 2,Teal Box,exp015/exp031,,0,No,F,Signalling,10," ""PBAN (Helicoverpa armigera Hubner)"""
BB21,04.04.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K314110,"Plate 1, A1",spring 2018 iGEM distribution,Emily Garcia,Colony 1 ,Teal Box,exp003/exp005,NA,1,No,F,Translational_Unit,1," ""f1 origin"""
BB22,04.04.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K731722,"Plate 1, B1",spring 2018 iGEM distribution,Emily Garcia,Colony 1 ,Teal Box,exp003/exp005,NA,1,No,F,Terminator,1," ""T1 terminator from  E. coli rrnB"""
BB23,04.04.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K398326,"Plate 1, C1",spring 2018 iGEM distribution,Noor Radde,Colony 1 ,Teal Box,exp003/exp005,NA,1,No,F,Regulatory,1," ""Promoter of the CaiF protein"""
BB24,04.04.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K398331,"Plate 1, E1",spring 2018 iGEM distribution,Noor Radde,Colony 1 ,Teal Box,exp003/exp005,NA,1,No,F,Measurement,5," ""pCaiF-B0032 measurement device"""
BB25,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K808025,"Plate 1, F1",spring 2018 iGEM distribution,Noor Radde,Colony 1 ,Teal Box,exp003/exp005,NA,1,No,F,Coding,1," ""FsC: Cutinase PET cleaving enzyme"""
BB26,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K314100,"Plate 1, G1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,1,No,F,Composite,3," ""High constitutive expression cassette"""
BB27,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K808001,"Plate 1, H1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,1,No,F,Coding,1," ""tphC: terephtalate periplasmatic binding proteine of the tripartite transporter family"""
BB28,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K808003,"Plate 1, J1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,1,No,F,Coding,1," ""tctB_162: small subunit B1 of the tripartite tricarboxylate transporter family"""
BB29,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K314201,"Plate 1, K1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,1,No,F,Coding,1," ""Antitoxin Tsi2"""
BB30,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K808010,"Plate 1, L1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,1,No,F,Coding,1," ""tphB: reaction from DCD to protocatechuate"""
BB31,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K314202,"Plate 1, M1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,1,No,F,Coding,1," ""Toxin+ Antitoxin-Tse2 + Tsi2"""
BB32,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K314101,"Plate 1, I1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,1,No,F,Composite,3," ""Low constitutive expression cassette"""
BB33,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K808011,"Plate 1, N1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,1,No,F,Coding,1," ""tphA1: reduces the tphA2A3 complex"""
BB34,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K346002,"Plate 1, O1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,1,No,F,Regulatory,1," ""PmerT promoter (mercury-responsive)"""
BB35,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K808013,"Plate 1, P1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,1,No,F,Coding,1," ""tphA3: Catalyzes together with tphA2 TPA to DCD"""
BB36,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K548000,"Plate 1, A2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,,0,No,F,Signalling,1," ""Humanized Aequorin """
BB37,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K325210,"Plate 1, B2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,1,No,F,Reporter,1," ""Red Firefly Luciferase and LRE<BR><i>L. Cruciata<BR>(E. coli optimised)</i>"""
BB38,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K648028,"Plate 1, C2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,1,No,F,Coding,1," ""Cro  Lamda Repressor which activates the lytic cycle"""
BB39,04.22.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K325219,"Plate 1, D2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,1,No,F,Generator,2," ""Red Firefly Luciferase and LRE (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>"""
BB40,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K648029,"Plate 1, E2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp016/exp034/exp031,NA,1,No,F,Coding,1," ""OR  operating region for Lambda switch"""
BB41,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K325108,"Plate 1, F2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,1,No,F,Generator,2," ""EPIC Firefly Luciferase (under pBAD)<BR><i>P. Pyralis<BR>(E. coli optimised)</i>"""
BB42,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K530015,"Plate 1, G2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,1,No,F,Regulatory,1," ""FCY2 Yeast Promoter"""
BB43,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K325209,"Plate 1, H2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,1,No,F,Generator,1," ""Green Firefly Luciferase and LRE (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>"""
BB44,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K530019,"Plate 1, I2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,,0,No,F,Terminator,1," ""HHO1 Yeast UTR"""
BB45,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K325259,"Plate 1, J2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013,NA,1,No,F,Generator,1," ""Yellow Firefly Luciferase (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>"""
BB46,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K530025,"Plate 1, K2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013,NA,1,No,F,Coding,1," ""Vtc2"""
BB47,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K325903,"Plate 1, L2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp016/exp034,NA,1,No,F,Generator,1," ""luxEG <BR><i>V. Fischeri<BR>(E. coli optimised)</i>"""
BB48,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_542003,"Plate 1, M2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,1,No,F,Composite,14,
BB49,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K316027,"Plate 1, N2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,,0,No,F,Coding,1," ""B.subtilis transformation vector with LacI"""
BB50,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K542010,"Plate 1, O2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013,NA,1,No,F,Composite,18," ""Enhanced Lumazine Synthase (ELS)"""
BB51,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K415023,"Plate 1, P2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,1,No,T,Composite,1," ""pLux-Lac:GFP:Term:Term:PluxR/cI-OR :mCherry:Term:PtetR:LuxR:Term:Plux/cI-OR:LuxI  """
BB52,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K346004,"Plate 1, A3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp013,NA,1,No,F,Regulatory,1," ""RBS(B0034)_MBP(lead metal binding peptide egineered from PbrR)+Terminator(B0015)"""
BB53,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K823042,"Plate 1, B3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp013,NA,1,No,F,Coding,3," ""PsspK promoter regulated by sigma G"""
BB54,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K316003,"Plate 1, C3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Terminator,2," ""XylE - catechol 2 3-dioxygenase from P.putida with terminator"""
BB55,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K823017,"Plate 1, D3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Reporter,1," ""double terminator (B0012-B0011)"""
BB56,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K523000,"Plate 1, E3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Device,1," ""Plac + lacZ; with BglII site"""
BB57,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K817018,"Plate 1, F3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Translational_Unit,2," ""gamma-delta resolvase cassette"""
BB58,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K538104,"Plate 1, G3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Regulatory,1," ""RBS + CspC"""
BB59,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K873002,"Plate 1, H3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Coding,1," ""HSP promoter"""
BB60,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K538004,"Plate 1, I3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Intermediate,3," ""CspC (P. irgensii)"""
BB61,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_S05060,"Plate 1, J3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Coding,1," ""K873000:B0015"""
BB62,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K538000,"Plate 1, K3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Regulatory,1," ""Cpn10 (O. antarctica)"""
BB63,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K774001,"Plate 1, L3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,Yes,F,Regulatory,1," ""Mammalian-Bacterial Promoter: E9-ns2 CArG promoter sequence + BHN + BBaK216005"""
BB64,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K525998,"Plate 1, M3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Coding,1," ""Promoter T7 and RBS"""
BB65,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K748002,"Plate 1, N3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Intermediate,2," ""Truncated lysostaphin coding sequence. Lysostaphin has has a specific lytic action against S.aureus."""
BB66,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K608002,"Plate 1, O3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,1,No,F,Intermediate,2," ""strong Promoter and strong RBS"""
BB67,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_S05048,"Plate 1, P3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,,0,No,F,Composite,2," ""B0034:K748000"""
BB68,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K331022,"Plate 1, A4",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,,0,No,F,Composite,5," ""RBS with N-terminal Oligo Arginine - EYFP Fusion"""
BB69,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K381001,"Plate 1, B4",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,NA,1,No,T,Composite,2," ""Nitrate reporter: PyeaR - GFP composite"""
BB70,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K331024,"Plate 1, C4",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,NA,1,No,F,Composite,4," ""RBS with N-terminal Oligo Arginine - ECFP Fusion """
BB71,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K314103,"Plate 1, D4",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,NA,1,No,F,Coding,1," ""Lac induced expression cassette"""
BB72,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K145001,"Plate 4, 1C",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,1,no,F,Coding,1," ""T7 RNA polymerase"""
BB73,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K525306,"Plate 4, 2C",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,1,no,F,Composite,1," ""Fusion Protein of S-Layer SgsE and mCerulean"""
BB74,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K525404,"Plate 4, 2E",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,,0,no,F,Composite,1," ""Fusion Protein of S-Layer SbpA and mCherry RFP"""
BB75,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K525406,"Plate 4, 2G",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,1,no,F,RBS,1," "" Fusion Protein of S-Layer SbpA and mCerulean """
BB76,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_J61100,"Plate 4, 16C",spring 2018 iGEM distribution,Diya Bhat,,Teal Box,exp036,3.64,1.516666667,No,F,Coding,1," ""Ribosome Binding Site Family Member"""
BB77,4.17.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_1715023,"Plate 4, 16I",spring 2018 iGEM distribution,Diya Bhat,,Teal Box,exp036,8.83,3.679166667,No,F,Regulatory,1,
BB78,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_K125500,"Plate 4, 16K",spring 2018 iGEM distribution,Diya Bhat,,Teal Box,exp036,10.9,4.541666667,No,F,RNA,1," ""GFP fusion brick"""
BB79,4.17.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_J23119,"Plate 4, 17B",spring 2018 iGEM distribution,Diya Bhat,,Teal Box,exp036,12.6,5.25,No,F,Coding,1," ""constitutive promoter family member"""
BB80,04.17.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1184000,"Plate 4, 20",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,,0,no,F,Generator,3,
BB81,04.17.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K592011,"Plate 4, 2I",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,1,no,F,Composite,6," ""cjBlue  green chromoprotein"""
BB82,04.17.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K118019,"Plate 4, 3C",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,,0,no,F,Coding,1," ""Plac+rbs+glgC (ADP-glucose pyrophosphorylase)"""
BB83,04.17.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K118024,"Plate 4, 3E",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,1,no,F,Translational_Unit,1," ""dxs+LIMS1+appY"""
BB84,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K558009,"Plate 1, E4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp036,NA,1,Yes,F,Composite,3," ""Thiamin monophosphate pyrophosphorylase"""
BB85,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K346000,"Plate 1, F4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006/exp026,NA,1,Yes,F,Generator,2," ""RBS(B0032)+T3 DNA-directed RNA polymerase"""
BB86,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575008,"Plate 1, G4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006,NA,1,Yes,T,Composite,3," ""LasR/PAI1 Inducible Promoter + RBS (B0030) + GFP"""
BB87,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K395602,"Plate 1, H4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006,NA,1,Yes,F,Composite,3," ""Apple fragrance  generator """
BB88,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575010,"Plate 1, I4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,,0,No,F,Generator,1," ""LasR/PAI1 Inducible Promoter + RBS (B0030) + RFP"""
BB89,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575009,"Plate 1, K4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006,NA,1,Yes,T,Composite,3," ""LasR/PAI1 Inducible Promoter + RBS (B0034) + GFP"""
BB90,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K325909,"Plate 1, L4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006,NA,1,Yes,F,Reporter,1," ""Lux Operon (under pBAD)<BR><i>Vibrio Fischeri</i>"""
BB91,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575011,"Plate 1, M4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp026/exp036,NA,1,Yes,F,Composite,3," ""LasR/PAI1 Inducible Promoter + RBS (B0034) + RFP"""
BB92,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K325100,"Plate 1, N4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp026/exp036,NA,1,Yes,F,Translational_Unit,1," ""EPIC Firefly Luciferase and LRE <BR><i>P. Pyralis<BR>(E. coli optimised)</i>"""
BB93,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575012,"Plate 1, O4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp026/exp036,NA,1,Yes,T,Terminator,1," ""RhlR/PAI2  Inducible Promoter + RBS (B0030) + GFP"""
BB94,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523001,"Plate 1, P4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp026/exp036,NA,1,Yes,F,Reporter,5," ""RBS + malS (E. coli periplasmic &#945;-amylase)"""
BB95,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150012,"Plate 4, A10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp026/exp036,,0,No,F,Reporter,5," ""BGH terminator"""
BB96,4.20.19,E. coli DH10B + burden monitor,"kan, cam, amp",pSB1AC3,BBa_J04450,"Plate 4, B10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp026/exp036,,0,No,F,Reporter,5," ""RFP Coding Device"""
BB97,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150013,"Plate 4, E10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp036,,0,No,F,Coding,1," ""AGS Linker"""
BB98,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150016,"Plate 4, G10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp036,,0,No,F,Tag,1," ""HA tag"""
BB99,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150034,"Plate 4, I10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp036,,0,No,F,Device,1," ""dCas RNA plasmid: ""uniCAS RNAimer"""""
BB100,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150035,"Plate 4, K10",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,,0,No,F,Device,1," ""uniCAS RNAimer to EMX1"""
BB101,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150036,"Plate 4, M10",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,,0,No,F,Device,1," ""uniCAS RNAimer to target VEGF1"""
BB102,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150037,"Plate 4, O10",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,,0,No,F,Device,1," ""uniCAS RNaimer to target VEGF2"""
